County,Habitat,Limits,Length_surface,Association,Contract
BIHOR,Topa – Holod,izvoare – pod sat Corbești,15 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Râul  Roșia,izvoare – Valea Toplicului,66 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Valea Buduresei,izvoare – conf. cu râul Crișul Negru,28 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Râul Crișul Repede Mijlociu,bariera Bucea – conf. cu Valea Brătcuței,25 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",30 / 10.10. 2017
BIHOR,Râul Poiana,izvoare – conf. cu Valea Băiței,30 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Râul Peța,izvoare – conf. Cu Râul Crișul Repede,,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Valea Dobricionești,izvoare – conf. cu Râul Crișul Repede,,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Valea Mișidului,izvoare – conf. cu Râul Crișul Repede,,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Valea Sighiștelului,izvoare - conf. cu Râul Crișul Băița,,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Râul Crișul Băița,izvoare – conf. cu Râul Crișul Negru,28 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Valea Bistrei,izvoare – conf. cu râul Barcău,40 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Valea Șoimului,"la izvoare, loc. Pestiș , oraș Aleșd – conf. râul 
Crișul Repede",12 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Valea Gepiș,"izvoare, loc. Groși – conf. cu râul Crișul Repede",7 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BIHOR,Valea Omului,"izvoare, loc. Luncșoara – conf. cu râul Crișul 
Repede",7 Km,"AJVPS BIHOR 
cu sediul în  
localitatea Oradea, 
Piața Emanuil Gojdu, 
nr. 53, bl. A10, județ 
Bihor",61/26.07.2018
BISTRIȚA - NĂSĂUD,Râul Bistrița,Podul Mijlocenii Bârgăului – conf. Șieu,25 km,"AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",10 / 13. 09. 2017
BISTRIȚA - NĂSĂUD,Pârâul Rosua,Izvoare – conf. Șieu.,12 km,"AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",10 / 13. 09. 2017
BISTRIȚA - NĂSĂUD,Jelna,Izvoare – podul de ciment Budacul de sus,12 km,"AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",10 / 13. 09. 2017
BISTRIȚA - NĂSĂUD,Lacul Izvorul(Măgurii),Natural,"0,2 Ha","AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",82/11.04.2019
BISTRIȚA - NĂSĂUD,Lacul Tăul zânelor,Natural,"0,8 Ha","AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",82/11.04.2019
BISTRIȚA - NĂSĂUD,Lacul Colibița,Artificial,300 Ha,"AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",82/11.04.2019
BISTRIȚA - NĂSĂUD,Râul Anieș,Izvoare – conf. râul Someșul Mare,46 Km,"AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",82/11.04.2019
BISTRIȚA - NĂSĂUD,Râul Țibleș,Izvoare – conf. râul Someșul Mare,40 Km,"AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",82/11.04.2019
BISTRIȚA - NĂSĂUD,Râul Sălăuța  Superioară,Izvoare – conf. pârâul Bumbului,75 Km,"AJVPS BISTRIȚA-
NĂSĂUD 
cu sediul în  
localitatea Bistrița, 
str. Făzănăriei,nr.7, 
județ Bistrița-Năsăud",82/11.04.2019
